Threshold,Precision,Recall,F1,False_Positives,False_Negatives,True_Positives,True_Negatives
0.05,0.6009615384615384,0.8445945945945946,0.702247191011236,83,23,125,85212
0.1,0.7380952380952381,0.8378378378378378,0.7848101265822784,44,24,124,85251
0.15,0.8187919463087249,0.8243243243243243,0.8215488215488216,27,26,122,85268
0.2,0.8581560283687943,0.8175675675675675,0.8373702422145328,20,27,121,85275
0.25,0.8931297709923665,0.7905405405405406,0.8387096774193549,14,31,117,85281
0.3,0.9426229508196722,0.777027027027027,0.8518518518518519,7,33,115,85288
0.35,0.9568965517241379,0.75,0.8409090909090909,5,37,111,85290
0.4,0.9732142857142857,0.7364864864864865,0.8384615384615385,3,39,109,85292
0.45,0.9727272727272728,0.722972972972973,0.8294573643410853,3,41,107,85292
0.5,0.9722222222222222,0.7094594594594594,0.8203125,3,43,105,85292
0.55,0.9716981132075472,0.6959459459459459,0.8110236220472441,3,45,103,85292
0.6,0.970873786407767,0.6756756756756757,0.796812749003984,3,48,100,85292
0.65,0.9696969696969697,0.6486486486486487,0.7773279352226721,3,52,96,85292
0.7,0.978021978021978,0.6013513513513513,0.7447698744769874,2,59,89,85293
0.75,0.9764705882352941,0.5608108108108109,0.7124463519313304,2,65,83,85293
0.8,0.975,0.527027027027027,0.6842105263157895,2,70,78,85293
0.85,0.9705882352941176,0.44594594594594594,0.6111111111111112,2,82,66,85293
0.9,0.9574468085106383,0.30405405405405406,0.46153846153846156,2,103,45,85293
0.95,0.9666666666666667,0.19594594594594594,0.3258426966292135,1,119,29,85294
